rank,config_name,primary,macro_auc,first_pass_auc,v_anchor_auc,v_anchor_first_pass_auc,site_auc_std,mean_oof_auc,rare_auc,frequent_auc,runtime_min,stage_metrics_path
1,mlp_pca_128,0.7296,0.9018,0.8983,0.8507,0.8448,0.1211,0.8747,nan,0.9071,2.5671,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/mlp_pca_128.json
2,mlp_pca_32,0.7256,0.8977,0.8958,0.8466,0.8411,0.121,0.8672,nan,0.9019,2.555,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/mlp_pca_32.json
3,focal_a050,0.7042,0.8882,0.886,0.834,0.8236,0.1298,0.8515,nan,0.8929,2.4943,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/focal_a050.json
4,mlp_alpha_080,0.6947,0.8895,0.8854,0.8354,0.8224,0.1407,0.8514,nan,0.8884,2.8616,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/mlp_alpha_080.json
5,mlp_heavy_combo,0.6926,0.8891,0.8859,0.8337,0.8216,0.141,0.8514,nan,0.8882,2.5783,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/mlp_heavy_combo.json
6,proto_distill_heavy,0.6922,0.8873,0.8842,0.8308,0.8189,0.1386,0.8464,nan,0.8915,2.6736,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/proto_distill_heavy.json
7,proto_short_mlp_heavy,0.6908,0.8892,0.8861,0.8324,0.8198,0.1416,0.8491,nan,0.8879,2.0262,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/proto_short_mlp_heavy.json
8,mlp_alpha_060,0.6896,0.8921,0.8883,0.8325,0.822,0.1428,0.8541,nan,0.8922,2.5397,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/mlp_alpha_060.json
9,mlp_minpos_3,0.6886,0.902,0.8966,0.8359,0.8221,0.1473,0.8562,nan,0.8954,2.6342,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/mlp_minpos_3.json
10,ens_w_015,0.6869,0.8913,0.8886,0.8296,0.8204,0.1427,0.8549,nan,0.8923,2.5112,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/ens_w_015.json
11,ens_w_025,0.6865,0.8924,0.8889,0.8297,0.8203,0.1432,0.856,nan,0.8935,2.615,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/ens_w_025.json
12,ls_10,0.6862,0.8924,0.8889,0.8331,0.8233,0.1469,0.8554,nan,0.895,2.4699,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/ls_10.json
13,focal_g1,0.686,0.8935,0.8892,0.8335,0.8232,0.1475,0.8566,nan,0.8949,2.5492,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/focal_g1.json
14,ls_0,0.6856,0.8932,0.8888,0.833,0.8222,0.1473,0.8562,nan,0.8959,3.0065,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/ls_0.json
15,boost_soft,0.6839,0.8938,0.8888,0.831,0.8209,0.1471,0.8562,nan,0.8952,2.6046,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/boost_soft.json
16,baseline,0.6835,0.8936,0.8888,0.8305,0.8209,0.1471,0.8562,nan,0.8954,2.7149,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/baseline.json
17,ens_w_075_proto_heavy,0.682,0.8916,0.884,0.8324,0.8207,0.1504,0.8544,nan,0.8934,2.8849,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/ens_w_075_proto_heavy.json
18,focal_a010,0.6817,0.8928,0.8898,0.8289,0.8184,0.1472,0.8554,nan,0.8955,2.5216,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/focal_a010.json
19,proto_short,0.6815,0.8934,0.8886,0.8282,0.818,0.1467,0.8544,nan,0.8947,1.9115,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/proto_short.json
20,ens_w_000_mlp_only,0.6794,0.886,0.8859,0.8373,0.8278,0.158,0.8376,nan,0.8873,3.0475,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/ens_w_000_mlp_only.json
21,no_scaling,0.6784,0.8899,0.8888,0.8268,0.8209,0.1484,0.8474,nan,0.8926,2.5745,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/no_scaling.json
22,focal_g3,0.6763,0.8919,0.8886,0.8241,0.8149,0.1478,0.8531,nan,0.8947,2.5408,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/focal_g3.json
23,smooth_off,0.6728,0.8987,0.8888,0.832,0.8209,0.1592,0.8589,nan,0.8955,2.5314,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/smooth_off.json
24,mlp_only_clean,0.6512,0.8859,0.8859,0.8278,0.8278,0.1766,0.8247,nan,0.8799,2.6054,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/best_ssm/mlp_only_clean.json
